target;BJD;RV_mlc_nzp;e_RV_mlc_nzp;RV_drs_nzp;e_RV_drs_nzp;RV_mlc;e_RV_mlc;RV_drs;e_RV_drs;RV_mlc_j;e_RV_mlc_j;CRX;e_CRX;dLW;e_dLW;Halpha;e_Halpha;NaD1;e_NaD1;NaD2;e_NaD2;f_RV;FWHM_DRS;CONTRAST_DRS;BIS;RVGUESS;SNR_DRS;BJD_DRS;BERV;BERV_DRS;DRIFT;e_DRIFT;SA;NZP_mlc;dNZP_mlc;NZP_drs;dNZP_drs;TMMEAN;EXPTIME;MLCRX;E_MLCRX;TIMEID;DRIFT_LAMP;MASK;PROGID;PROGPI;AIRMASS;OBHAB;THAR_FP;DPR_TYPE
HD45364;2452984.71004;9.119;0.699;16475.230;0.688;35.8246773187;0.534895209495;16475.5786202;0.47475338332;35.8246773187;0.534895209495;-21.063585393765706;5.436901835267534;-4.32826834122;1.30155279852;0.4481862414261804;0.0005793690199312338;0.27445450954228695;0.0007346885200142999;0.380281444092608;0.0009513389142622944;0;6.14427182717;36.2825800619;0.00670057078966;16.307;128.1;2452984.7093;6.18968349303;6.18422355516;0.325;-9999999;0.000;0.561;0.449;0.349;-9999999;0.5;581.9961;-21.0545239947;5.52799460587;2003-12-11T04:52:08.085;-9999999;K5;072.C-0488(E);M. Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2452999.80865;-1.067;1.020;16464.609;0.934;24.7552640991;0.865896820105;16464.597284;0.80010149859;24.7552640991;0.865896820105;-8.141892356685974;9.027938886088506;-17.0696405344;1.84252853507;0.4444554559527959;0.0010750411960179051;0.2741677888948278;0.001340586571199111;0.36897647570696507;0.001728775229535861;0;6.13215930145;36.3977631981;-0.0018059797378;16.307;72.0;2452999.80791;1.41463724737;1.4100343467;-0.088;-9999999;0.000;-0.323;0.539;-0.012;-9999999;0.54;574.9958;-8.15026909709;9.07106790404;2003-12-26T07:13:31.727;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453002.71248;-1.286;0.792;16465.213;0.787;25.5336041407;0.659638369902;16466.1093231;0.593768079941;25.5336041407;0.659638369902;-5.3947826790613265;8.066795273000745;-16.4399307292;1.55579317092;0.4445224889534869;0.0008180546496447747;0.27412313215781053;0.0010176408781881728;0.36868878657650267;0.0013141075129534565;0;6.13225968588;36.3909689708;-0.00148701480694;16.307;93.8;2453002.71173;0.702957399997;0.698360792296;0.176;-9999999;0.000;0.675;0.437;0.896;-9999999;0.51;569.9955;-5.39439574151;8.11375036312;2003-12-29T04:55:21.031;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453036.62964;-16.483;0.938;16448.371;1.079;9.07047480665;0.671676621298;16448.7344175;0.58578672594;9.07047480665;0.671676621298;-7.32038053323855;6.880178560102289;-8.63819020591;1.45397652441;0.44292040229458596;0.0007025054081268544;0.2798323459116902;0.0009011669886522742;0.3794198662051086;0.0011691636597411146;0;6.13623489827;36.3097402725;0.00131470472472;16.307;105.3;2453036.6289;-9.19379465123;-9.19841774459;0.167;-9999999;0.000;-0.592;0.654;0.363;-9999999;0.49;900.0013;-7.33852335308;6.9102523751;2004-02-01T02:54:16.000;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453046.57797;-13.269;0.877;16453.642;0.949;13.6256189957;0.526448558374;16454.5706471;0.484933605824;13.6256189957;0.526448558374;-19.57401911677625;5.262701267169038;-2.14047606196;1.31331602936;0.4398193341575778;0.0006148353696664958;0.2818722842327535;0.0007841568136557525;0.37717601082092145;0.001010252314155337;0;6.14064149487;36.2633826265;-0.00103231361371;16.307;121.5;2453046.57722;-11.5461781804;-11.5507880956;0.094;-9999999;0.000;0.750;0.702;0.929;-9999999;0.48;732.3973;-19.5839798464;5.32846999948;2004-02-11T01:41:50.691;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453049.58433;-14.861;0.758;16450.806;0.847;12.2168927229;0.410658204182;16452.8176186;0.365223664329;12.2168927229;0.410658204182;-19.202615922152344;4.710629123590393;-2.53256650099;1.31242619779;0.4459920642451697;0.00044956970328994465;0.2777929791962854;0.0005663519718062414;0.37836280970292746;0.0007283617161728538;0;6.14415970292;36.2346917894;0.00200109339842;16.307;167.8;2453049.58357;-12.241661777;-12.2462725073;-0.184;-9999999;0.000;0.933;0.637;2.012;-9999999;0.5;886.4961;-19.2053844553;4.77158966577;2004-02-14T01:49:38.715;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453051.65745;-18.661;0.916;16447.725;0.975;9.17956371085;0.582066077126;16449.876118;0.523104984617;9.17956371085;0.582066077126;-5.703058166235139;5.890236610964353;-0.546023824568;1.39385902621;0.44399799823084846;0.0006560069216435206;0.27527142631737195;0.0008266391956629691;0.37718539823911784;0.001065390008991685;0;6.14723780027;36.2466424219;0.000965715397221;16.307;115.0;2453051.65669;-12.8401130855;-12.8447273345;0.401;-9999999;0.000;1.696;0.708;2.151;-9999999;0.48;610.7972;-5.71528438865;5.93000832789;2004-02-16T03:37:33.576;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453055.6877;-18.057;0.984;16449.217;1.143;10.9582181292;0.623925716371;16451.5812356;0.549274950873;10.9582181292;0.623925716371;-13.50774375085791;6.481417696290123;6.0984184006;1.38371187958;0.44154225666068764;0.000694695500335653;0.27754236828857987;0.0008666659210959995;0.3734933440587862;0.0011047207504343976;0;6.15739668865;36.1793144593;0.00666812120717;16.307;111.1;2453055.68695;-13.7097444738;-13.7143690035;0.102;-9999999;0.000;2.869;0.761;2.364;-9999999;0.49;637.097;-13.5225351248;6.51933410949;2004-02-20T04:21:03.443;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453060.62075;-24.998;1.023;16441.158;1.114;3.40490593881;0.534494344556;16443.7777794;0.484671754545;3.40490593881;0.534494344556;-10.695659538287428;6.322261747249909;-8.78805958523;1.23547769189;0.44355500089678285;0.0006114165844842537;0.2763439084893922;0.0007717053106276339;0.37403506469414455;0.0009887848042161723;0;6.14484302617;36.3204314222;0.00530008393338;16.307;123.4;2453060.62001;-14.5017724466;-14.5064096864;0.571;-9999999;0.000;2.258;0.873;2.620;-9999999;0.49;899.9954;-10.6979678737;6.33652382249;2004-02-25T02:42:50.103;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453335.82252;-7.225;0.957;16458.085;0.951;17.9909039457;0.390602071535;16457.5951729;0.35263568493;17.9909039457;0.390602071535;-0.5649499442776367;3.6499387822648472;-11.4002454228;1.51123231503;0.4446832751915088;0.00041939913509566966;0.28022167011179694;0.0005327557593219985;0.3712709626921574;0.0006928738668661823;0;6.14378008582;36.367023576;-0.00205433316296;16.3;174.8;2453335.82177;9.82068901932;9.81607256514;-0.07;-9999999;0.002;-0.930;0.873;-0.492;-9999999;0.52;875.4827;-0.586297091236;3.74807543901;2004-11-26T07:31:53.845;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
