Inst,JD,RV,e_RV
"Keck",2454399.75186,23.56,1.54
"Keck",2454427.75745,19.83,1.13
"Keck",2454634.0788,0.38,1.57
"Keck",2454674.91593,-24.76,1.46
"Keck",2454778.80262,-51.78,1.54
"Keck",2454807.78906,-59.08,1.62
"Keck",2454935.13871,-23.75,1.21
"Keck",2454956.09772,-25.09,1.39
"Keck",2454964.11957,-16.8,1.39
"Keck",2454984.06802,-4.39,1.36
"Keck",2454985.09297,-5.21,1.52
"Keck",2455014.96811,14.08,1.61
"Keck",2455015.95302,3.45,1.56
"Keck",2455075.07263,40.27,1.53
"Keck",2455076.06215,35.78,1.65
"Keck",2455077.05115,44.44,1.51
"Keck",2455082.04172,35.42,1.5
"Keck",2455083.04807,45.17,1.7
"Keck",2455084.02263,47.35,1.48
"Keck",2455084.99943,38.08,1.53
"Keck",2455106.90692,46.4,1.32
"Keck",2455135.75335,38.24,1.4
"Keck",2455187.69803,30.5,1.63
"Keck",2455188.69157,28.42,1.54
"Keck",2455290.14918,4.66,1.47
"Keck",2455313.13833,-8.29,1.12
"Keck",2455352.08439,-31.8,1.38
"Keck",2455374.11241,-38.66,1.51
"Keck",2455395.95755,-45.18,1.38
"Keck",2455439.01932,-36.7,1.38
"Keck",2455455.73766,-47.27,1.42
"Keck",2455521.79477,-34.05,1.39
"Keck",2455674.14167,-18.79,1.47
"Keck",2455720.97469,7.14,0.57
"Keck",2455726.03586,2.36,1.28
"Keck",2455782.84153,4.52,1.34
"Keck",2455824.92332,13.68,1.23
"Keck",2455839.82582,0.0,1.27
"Keck",2455904.73172,-8.06,1.43
"Keck",2455931.69116,-15.84,1.41
"Keck",2456166.7444,-10.2,1.4
"Keck",2456168.86382,-11.2,1.21
"Keck",2456433.04139,-6.8,1.14
"Keck",2456522.09346,-38.29,1.59
"Keck",2456529.87766,-35.31,1.54
"Keck",2456551.82347,-49.97,1.18
"Keck",2456613.77979,-57.29,1.44
"Keck",2456637.69903,-48.26,1.32
"Keck",2456878.89942,33.07,1.56
"Keck",2456911.71152,36.84,1.42
"APF ",2456504.82513,0.54,1.26
"APF ",2456505.93027,2.6,1.29
"APF ",2456515.85262,8.11,1.2
"APF ",2456516.89268,-2.4,1.27
"APF ",2456517.78745,-1.66,1.23
"APF ",2456518.81965,-1.7,1.25
"APF ",2456534.80483,4.89,1.21
"APF ",2456535.80156,0.75,1.28
"APF ",2456539.79917,5.14,1.36
"APF ",2456540.8223,-4.63,1.55
"APF ",2456541.85331,-6.12,1.16
"APF ",2456542.75722,-1.48,1.02
"APF ",2456547.79837,-11.14,1.29
"APF ",2456548.77462,-8.03,1.21
"APF ",2456562.80405,-3.92,1.05
"APF ",2456563.71147,-5.93,1.08
"APF ",2456569.79719,-27.84,4.34
"APF ",2456570.79627,-5.96,1.55
"APF ",2456573.72675,-9.89,1.44
"APF ",2456577.80143,-17.01,1.0
"APF ",2456581.79176,-6.52,0.78
"APF ",2456582.7348,-2.58,0.63
"APF ",2456583.69447,-11.73,1.09
"APF ",2456588.6805,-12.69,0.57
"APF ",2456589.77159,-11.57,1.02
"APF ",2456590.66789,-11.63,1.32
"APF ",2456591.66285,-9.16,0.74
"APF ",2456596.59997,-3.76,1.12
"APF ",2456597.69329,-0.91,0.72
"APF ",2456606.66048,-1.1,0.84
"APF ",2456607.69387,-8.66,1.0
"APF ",2457192.94571,-9.75,1.23
"APF ",2457225.99709,-21.57,0.8
"APF ",2457706.65722,43.99,1.23
"APF ",2458239.99803,28.47,1.08
"APF ",2458292.79881,17.2,1.81
"APF ",2458384.6382,18.05,0.93
"APF ",2458408.59895,8.73,0.79
"APF ",2458409.59737,1.57,0.78
"APF ",2458411.59738,9.05,0.9
"APF ",2458413.59601,8.92,0.76
"APF ",2458415.59282,9.33,0.8
