Title: Statistics of Long Period Gas Giant Planets in Known Planetary Systems 
Authors: Bryan M.L., Knutson H.A., Howard A.W., Ngo H., Batygin K., Crepp J.R.,
         Fulton B.J., Hinkley S., Isaacson H., Johnson J.A., Marcy G.W., 
         Wright J.T. 
Table: RVs for Systems With New Planets: HD 156279, HD 33142, GJ 317, HD 90589,
       HD 4203, HD 99706, HD 102329, HD 116029
================================================================================
Byte-by-byte Description of file: apj522694t4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     ID     System identifier
  11- 17 F7.1   d       JD     Julian Date of the observation - 2440000
  19- 24 F6.1   m/s     RVel   Radial velocity
  26- 30 F5.3   m/s   e_RVel   The 1{sigma} uncertainty in RVel
--------------------------------------------------------------------------------
system_identifier JD-2.4e6 RV sigma_RV
HD_156279 12832.9 -436.3 1.084
HD_156279 13074.1 -191.6 1.302
HD_156279 13238.8 -465.2 0.870
HD_156279 13479.0 -184.7 0.874
HD_156279 13934.9  471.5 0.896
HD_156279 13981.8   77.0 0.814
HD_156279 13982.9   67.7 0.843
HD_156279 13983.8   61.7 0.845
HD_156279 13984.9   55.8 0.785
HD_156279 15016.0  395.2 0.951
HD_156279 15019.0  367.2 1.118
HD_156279 15041.9  181.3 1.119
HD_156279 15045.0  160.1 1.085
HD_156279 15048.9  131.9 1.328
HD_156279 15075.7  -51.8 0.892
HD_156279 15111.7 -415.2 1.044
HD_156279 15134.7  534.0 1.078
HD_156279 15135.7  530.7 0.989
HD_156279 15163.7  263.3 1.164
HD_156279 15172.7  197.3 1.303
HD_156279 15229.1 -226.1 1.191
HD_156279 15232.2 -258.2 1.159
HD_156279 15256.2 -375.0 1.143
HD_156279 15261.1  243.5 1.021
HD_156279 15285.0  361.6 1.140
HD_156279 15286.1  352.3 1.106
HD_156279 15290.1  314.4 0.953
HD_156279 15313.0  141.0 0.931
HD_156279 15313.9  135.4 0.951
HD_156279 15320.0   86.0 0.969
HD_156279 15321.0   81.1 0.977
HD_156279 15321.9   75.6 0.933
HD_156279 15342.9  -70.4 0.882
HD_156279 15351.9 -139.3 0.871
HD_156279 15372.8 -350.9 0.886
HD_156279 15380.8 -465.7 0.894
HD_156279 15396.0  365.5 1.045
HD_156279 15396.9  430.0 0.939
HD_156279 15400.0  505.3 1.067
HD_156279 15400.8  511.4 0.973
HD_156279 15406.8  480.3 0.901
HD_156279 15427.7  261.6 1.024
HD_156279 15455.8   59.3 0.908
HD_156279 15465.7  -11.2 0.913
HD_156279 15486.8 -171.8 0.993
HD_156279 15521.7 -479.6 1.065
HD_156279 15526.7   52.0 1.100
HD_156279 15606.2  -89.4 1.197
HD_156279 15613.1 -146.0 1.172
HD_156279 15614.2 -151.7 1.138
HD_156279 15634.1 -337.0 1.075
HD_156279 15637.1 -369.3 1.098
HD_156279 15672.0  439.6 0.924
HD_156279 15699.9  164.3 0.863
HD_156279 15728.9  -50.9 1.067
HD_156279 15769.8 -397.7 0.988
HD_156279 15782.8 -572.1 1.002
HD_156279 15850.7   -1.6 0.951
HD_156279 15961.1  139.4 1.180
HD_156279 15995.2 -111.6 1.075
HD_156279 16076.8  278.3 0.940
HD_156279 16097.8   74.1 1.041
HD_156279 16164.7 -441.3 1.005
HD_156279 16320.2 -706.5 1.147
HD_156279 16446.8 -666.4 0.889
HD_156279 16468.9  297.6 1.071
HD_156279 16473.8  258.5 1.007
HD_156279 16485.8  134.0 0.967
HD_156279 16585.7 -725.6 1.136
HD_156279 16710.1 -616.0 1.023
HD_156279 16845.9 -643.6 0.909
HD_156279 16890.7   95.5 0.997
HD_156279 17058.2 -141.9 1.228
HD_33142  14340.1  -29.1 1.365
HD_33142  14400.0  -46.8 1.360
HD_33142  14461.9  -16.0 1.573
HD_33142  14718.1  -32.8 1.334
HD_33142  14791.1    2.3 1.220
HD_33142  14807.0   25.8 2.808
HD_33142  14839.0   19.7 1.455
HD_33142  14847.0   17.3 1.521
HD_33142  14864.9   36.6 1.479
HD_33142  14929.7   16.0 1.381
HD_33142  15076.1  -15.7 1.280
HD_33142  15085.1  -18.7 1.295
HD_33142  15110.1  -12.9 1.910
HD_33142  15173.1   23.2 1.454
HD_33142  15187.9   18.5 1.352
HD_33142  15189.0   18.3 1.478
HD_33142  15189.8    8.5 1.365
HD_33142  15190.9   15.0 1.505
HD_33142  15196.8   15.4 1.317
HD_33142  15198.0   16.7 1.332
HD_33142  15199.0    8.1 1.408
HD_33142  15229.8   11.1 1.454
HD_33142  15255.7    1.3 1.278
HD_33142  15285.8  -21.5 1.547
HD_33142  15312.7  -32.3 1.349
HD_33142  15429.1  -18.9 1.424
HD_33142  15456.0   -5.9 1.316
HD_33142  15491.0    6.0 1.381
HD_33142  15522.0    9.9 1.410
HD_33142  15546.1   22.5 1.348
HD_33142  15556.1   21.8 1.373
HD_33142  15584.9    7.0 1.368
HD_33142  15633.8  -25.0 1.414
HD_33142  15879.0   23.4 1.420
HD_33142  15904.0    8.7 1.365
HD_33142  15960.8  -27.6 1.314
HD_33142  16018.7  -53.3 1.341
HD_33142  16530.1   25.6 1.371
HD_33142  16640.9  -27.6 1.428
HD_33142  16913.1  -32.8 1.393
GJ_317    11551.0  -28.7 3.733
GJ_317    11553.0   -2.8 5.038
GJ_317    11582.9   -1.4 4.112
GJ_317    11883.1  -76.6 3.734
GJ_317    11973.8 -105.7 6.308
GJ_317    12243.1  -12.2 6.564
GJ_317    12362.9   53.4 6.019
GJ_317    12601.0  -72.8 5.290
GJ_317    12989.1   44.3 4.895
GJ_317    13369.0  -61.3 2.042
GJ_317    13754.0   80.6 1.936
GJ_317    14084.0  -60.0 2.717
GJ_317    14086.1  -55.3 2.735
GJ_317    14130.1  -46.4 3.051
GJ_317    14131.0  -56.5 2.495
GJ_317    14138.9  -63.3 1.905
GJ_317    14216.7  -40.0 2.089
GJ_317    14255.7  -22.0 2.023
GJ_317    14255.7  -18.4 1.767
GJ_317    14400.1   78.3 2.007
GJ_317    14428.1   80.4 2.754
GJ_317    14492.9   80.8 2.293
GJ_317    14543.9   50.1 2.924
GJ_317    14544.9   57.7 2.082
GJ_317    14545.9   56.6 2.115
GJ_317    14603.8   17.6 2.229
GJ_317    14806.0  -53.6 2.318
GJ_317    14807.1  -60.9 3.559
GJ_317    14808.1  -54.5 2.055
GJ_317    14809.1  -62.6 2.120
GJ_317    14810.2  -58.7 1.878
GJ_317    14811.1  -56.7 2.040
GJ_317    14839.1  -56.2 2.779
GJ_317    14963.8   -9.6 2.183
GJ_317    15134.1   90.8 1.997
GJ_317    15173.1   81.4 1.672
GJ_317    15199.0   79.5 2.176
GJ_317    15255.9   48.3 2.015
GJ_317    15289.9   26.8 1.822
GJ_317    15522.1  -64.5 2.147
GJ_317    15614.0  -31.9 1.991
GJ_317    15672.8   -6.4 2.033
GJ_317    15878.1   62.2 1.819
GJ_317    15903.0   59.3 1.714
GJ_317    15961.0   24.0 2.187
GJ_317    16318.9  -45.6 2.160
GJ_317    16589.1   34.1 1.969
GJ_317    16637.1    8.4 2.190
GJ_317    17062.0  -51.9 2.291
HD_95089  14216.9  -62.3 1.243
HD_95089  14429.1  -30.9 1.418
HD_95089  14544.0    3.4 1.399
HD_95089  14602.8  -18.2 1.198
HD_95089  14603.8   -9.9 1.365
